Ключ проблемы,Идентификатор проблемы,Идентификатор родителя,Статус,Создано,Обновленo,Исполнитель,Пользовательское поле (Story Points),Тема,Создатель
DE-424,129105,,Готово,17.02.2022 15:06 ,18.02.2022 09:29 ,fedotovap,,Добавить в раскатку 2 вью на DM_SALES_BI,klekovkinve
DE-423,129073,,Готово,17.02.2022 13:45 ,22.02.2022 09:52 ,permyakovana,,Загрузить справочник ODS_POD_FT_DICT/MAP_FOREIGNER_RUS_TO_ENG,klekovkinve
ANL-1332,128920,,Закрыт,16.02.2022 20:41 ,18.03.2022 12:22 ,klekovkinve,,Доработка отчета по продажам (сделки партнеров),klekovkinve
ANL-1331,128919,,Готово,16.02.2022 20:41 ,08.11.2023 17:18 ,klekovkinve,,Доработка отчета по продажам (общий KPI),klekovkinve
ANL-1330,128918,,Готово,16.02.2022 20:40 ,08.11.2023 17:18 ,klekovkinve,,Доработка отчета по продажам (новый KPI),klekovkinve
SAD-9061,128689,,Готово,16.02.2022 14:03 ,20.10.2023 16:46 ,grankinka,,Изменение flow в JIRA,klekovkinve
DE-416,128681,,Готово,16.02.2022 13:31 ,22.02.2022 09:52 ,permyakovana,,Создать схему+справочник ODS_PERSON_DICT/MAP_PERSON_LOCATION_TO_CADASTRAL_REGION,klekovkinve
ANL-1329,128100,,Закрыт,14.02.2022 18:12 ,28.02.2022 11:23 ,klekovkinve,,ad-hoc / Посчитать динамику площади квартир в классифайде,klekovkinve
ANL-1328,128076,,Готово,14.02.2022 17:13 ,08.11.2023 17:18 ,klekovkinve,,Добавить привязку сотрудников М2 в сегменте банков,klekovkinve
ANL-1327,128011,,Закрыт,14.02.2022 14:39 ,28.02.2022 11:23 ,klekovkinve,,Выгрузить данные объектов из прода классифайда,klekovkinve
DE-408,127888,,Готово,14.02.2022 11:28 ,17.02.2022 11:43 ,fedotovap,,Создать таблицы на MART_SALES,klekovkinve
DE-404,127411,,Готово,10.02.2022 18:12 ,17.02.2022 16:25 ,fedotovap,,Создать интеграцию с БД когноса (логи в db2),klekovkinve
DE-403,127309,,Готово,10.02.2022 14:11 ,14.02.2022 09:05 ,permyakovana,,Загрузить справочник M2/CRM_RAW_CITY_MAPPING,klekovkinve
ANL-1310,126305,,Закрыт,07.02.2022 18:18 ,18.03.2022 12:20 ,klekovkinve,,Доработка отчета по продажам (партнеры),klekovkinve
DE-398,126066,,Готово,07.02.2022 11:58 ,29.01.2024 12:42 ,sharovns,,Добавить новые атрибуты в топик ODS_MORTGAGE.EVENT,klekovkinve
DE-350,122108,,Готово,19.01.2022 19:14 ,20.01.2022 12:23 ,fedotovap,,"Создать вью ""DM_SALES_BI"".""V_EMPLOYEE_KPI_RATING""",klekovkinve
ANL-1264,121303,120887,Закрыт,17.01.2022 17:51 ,17.01.2022 17:59 ,klekovkinve,,ad-hoc / Динамика цен на квартиры (дополнительно),klekovkinve
ANL-1263,121088,,Готово,17.01.2022 10:11 ,08.11.2023 17:18 ,klekovkinve,,Пересборка витрин по классифайду,klekovkinve
ANL-1262,120887,,Закрыт,14.01.2022 14:03 ,31.01.2022 14:46 ,klekovkinve,,ad-hoc / Динамика цен на квартиры,klekovkinve
DE-346,120774,,Готово,13.01.2022 19:21 ,16.01.2022 20:13 ,fedotovap,,"Создать вью ""DM_SEGMENT_REALTOR"".""CALENDAR""",klekovkinve
DE-345,120760,,Готово,13.01.2022 18:30 ,20.01.2022 11:20 ,fedotovap,,"Создать таблицу ""MART_SEGMENT_REALTOR"".""USER_REGION""",klekovkinve
DE-343,120194,,Готово,11.01.2022 15:46 ,12.01.2022 21:43 ,permyakovana,,Создать справочники для ГЕО,klekovkinve
DE-340,119470,,Готово,28.12.2021 14:50 ,28.12.2021 17:46 ,fedotovap,,Добавить в ежедневную раскатку вью в DM_SEGMENT_REALTOR,klekovkinve
ANL-1251,119412,104269,Закрыт,28.12.2021 11:34 ,07.02.2022 16:59 ,klekovkinve,,Собрать главную страницу со сводной информацией по сегменту,klekovkinve
DE-338,119348,,Готово,28.12.2021 00:30 ,28.12.2021 17:47 ,fedotovap,,Добавить таблицы в MART_SEGMENT_REALTOR,klekovkinve
DE-336,118796,,Готово,24.12.2021 13:01 ,01.02.2023 12:32 ,fedotovap,,Обновить цепочку DM/MART_SEGMENT_REALTOR,klekovkinve
ANL-1245,117346,104269,Закрыт,17.12.2021 18:05 ,07.02.2022 16:59 ,klekovkinve,,Скалибровать отчет ЛК с регистрациями АНЧ,klekovkinve
ANL-1239,116002,104269,Закрыт,13.12.2021 12:45 ,07.02.2022 16:59 ,klekovkinve,,Собрать и интегрировать справочник по мероприятиям АНЧ,klekovkinve
ANL-1238,115996,104269,Готово,13.12.2021 12:43 ,28.12.2021 11:32 ,klekovkinve,,Добавить в дашборд АНЧ данные по бюджетам на рекламу,klekovkinve
ANL-1237,115992,104269,Закрыт,13.12.2021 12:42 ,04.02.2022 12:59 ,klekovkinve,,Получить количество сделок АНЧ и LTV,klekovkinve
ANL-1236,115988,104269,Закрыт,13.12.2021 12:42 ,24.01.2022 10:57 ,klekovkinve,,Получить ГЕО данные риелторов,klekovkinve
ANL-1235,115983,104269,Готово,13.12.2021 12:41 ,28.12.2021 11:32 ,klekovkinve,,Собрать временную match таблицу по КДКП,klekovkinve
ANL-1227,114721,,Закрыт,07.12.2021 13:15 ,28.07.2022 15:12 ,,,Определить регион АНЧ по сделкам,klekovkinve
SAD-7765,113726,,Закрыт,02.12.2021 12:07 ,31.01.2024 17:28 ,sidorovmv,,Доступ к БД сервиса онлайн-сделка,klekovkinve
ANL-1217,112801,,Закрыт,29.11.2021 12:34 ,13.12.2021 12:39 ,klekovkinve,,Ad-hoc / Прогноз для конкурса АНЧ,klekovkinve
ANL-1216,112799,,Закрыт,29.11.2021 12:33 ,13.12.2021 12:39 ,klekovkinve,,Ad-hoc / Прогноз для конкурса АНЧ,klekovkinve
DE-313,112537,,Готово,26.11.2021 12:08 ,01.02.2023 12:33 ,fedotovap,,Добавить схемы АНЧ в раскатку,klekovkinve
ANL-1211,111985,,Закрыт,24.11.2021 12:18 ,06.12.2021 11:17 ,klekovkinve,,Ad-hoc / Прогноз для конкурса АНЧ,klekovkinve
ANL-1209,111425,,Закрыт,22.11.2021 15:08 ,23.12.2021 11:46 ,klekovkinve,,Заменить источник ЭР в отчетах продаж,klekovkinve
ANL-1208,111385,,Закрыт,22.11.2021 13:48 ,06.12.2021 11:16 ,klekovkinve,,Ad-hoc / Кол-во контактов АНЧ,klekovkinve
ANL-1198,109600,,Закрыт,15.11.2021 14:07 ,28.04.2023 15:00 ,,,Заменить справочник регион/сотрудник в скриптах,klekovkinve
DE-297,109373,,Готово,12.11.2021 16:58 ,04.04.2022 10:38 ,permyakovana,,Добавить проверку справочников на размер,klekovkinve
DE-289,108642,,Готово,10.11.2021 12:26 ,10.11.2021 17:55 ,permyakovana,,Загрузить справочник M2/SALES_EMP_COMP_STOP,klekovkinve
DE-288,108627,,Готово,10.11.2021 11:43 ,10.11.2021 13:01 ,permyakovana,,Заменить справочник M2/SALES_TARGET,klekovkinve
ANL-1184,107275,,Готово,01.11.2021 16:28 ,08.11.2023 17:18 ,klekovkinve,,Ad-hoc анализ рассылок на АНЧ,klekovkinve
ANL-1182,107199,104269,Закрыт,01.11.2021 13:33 ,22.11.2021 09:39 ,klekovkinve,,Ad-hoc Проанализировать поток онлайн сделок АНЧ,klekovkinve
ANL-1170,106465,104269,Закрыт,28.10.2021 13:54 ,07.02.2022 16:58 ,klekovkinve,,Маркетинговая воронка АНЧ,klekovkinve
SYS-548,104797,,Закрыт,22.10.2021 10:23 ,12.04.2022 00:42 ,kalinkinav,,Обновление onlyoffice в owncloud,klekovkinve
DE-265,104677,,Готово,21.10.2021 20:41 ,09.11.2021 11:29 ,permyakovana,,"Создать схемы/раскатку MART_INFRASTRUCTURE, DM_INFRASTRUCTURE_BI",klekovkinve
DE-263,104438,,Готово,21.10.2021 11:34 ,21.10.2021 20:41 ,permyakovana,,Создать справочники по pingdom в DICT/M2/,klekovkinve
ANL-1151,104271,104269,Готово,20.10.2021 14:57 ,20.12.2021 12:12 ,klekovkinve,,Аналитика АНЧ. Собрать данные пользователей из ЛК,klekovkinve
ANL-1150,104269,,Закрыт,20.10.2021 14:54 ,07.02.2022 17:02 ,klekovkinve,,Аналитика АНЧ,klekovkinve
SAD-7067,104040,,Закрыт,19.10.2021 18:02 ,21.10.2021 12:22 ,durymanovaa,,письмо похожее на скам,klekovkinve
ANL-1149,103960,,Закрыт,19.10.2021 14:28 ,01.11.2021 10:12 ,klekovkinve,,ad-hoc выгрузка риелторов из clickhouse,klekovkinve
ANL-1146,103631,,Закрыт,18.10.2021 14:06 ,01.11.2021 10:12 ,klekovkinve,,Ad-hoc / Объявление на контакт в классифайде ,klekovkinve
ANL-1136,101952,,Закрыт,08.10.2021 13:36 ,08.10.2021 17:59 ,klekovkinve,,Доработка отчета по продажам (оверлап периодов ответственности),klekovkinve
DE-258,101949,,Готово,08.10.2021 13:28 ,01.02.2023 12:33 ,,,Доработка отчета по продажам (оверлап периодов ответственности),klekovkinve
DE-257,101927,,Готово,08.10.2021 12:43 ,17.10.2022 17:01 ,fedotovap,,Запустить скрипты под тестовой ролью,klekovkinve
ANL-1131,101444,,Закрыт,06.10.2021 12:36 ,31.01.2022 14:46 ,klekovkinve,,Доработка отчета по продажам (ранг сотрудников),klekovkinve
ANL-1130,101441,,Закрыт,06.10.2021 12:34 ,17.01.2022 10:11 ,klekovkinve,,Доработка отчета по продажам (сводка по доле сделок),klekovkinve
ANL-1129,101438,,Закрыт,06.10.2021 12:32 ,28.04.2023 15:00 ,,,Доработка отчета по продажам (сравнение абсолюта сделок),klekovkinve
ANL-1128,101434,,Закрыт,06.10.2021 12:26 ,31.01.2022 14:46 ,klekovkinve,,Доработка отчета по продажам (новые партнеры),klekovkinve
ANL-1122,100973,,Закрыт,04.10.2021 15:51 ,15.12.2021 16:13 ,klekovkinve,,Отчетность для ИТ,klekovkinve
